CLEAN_KKMC,Date,Count
G104-K744-省际卡口,2023-12-01,2679
G104-K873-省际卡口,2023-12-01,3643
G206-K816-省际卡口,2023-12-01,1810
G235-K10-市际卡口,2023-12-01,2065
G3-K731-省际卡口,2023-12-01,4428
G310-K310-省际卡口,2023-12-01,1532
G311-K207-省际卡口,2023-12-01,766
G518518-K358-省际卡口,2023-12-01,3103
S250-K1-省际卡口,2023-12-01,2962
S251-K5-省际卡口,2023-12-01,636
S252-K56-省际卡口,2023-12-01,1510
S253-K0-省际卡口,2023-12-01,1529
S323-K10-市际卡口,2023-12-01,745
S323-K96-市际卡口,2023-12-01,3468
S324-K201-市际卡口,2023-12-01,963
S325-K63-市际卡口,2023-12-01,4202
S505-K10-市际卡口,2023-12-01,1082
X308-K19-市际卡口,2023-12-01,935
G104-K744-省际卡口,2023-12-02,3060
G104-K873-省际卡口,2023-12-02,3673
G206-K816-省际卡口,2023-12-02,1867
G235-K10-市际卡口,2023-12-02,3136
G3-K731-省际卡口,2023-12-02,5055
G310-K310-省际卡口,2023-12-02,1792
G311-K207-省际卡口,2023-12-02,879
G518518-K358-省际卡口,2023-12-02,3528
S250-K1-省际卡口,2023-12-02,3307
S251-K5-省际卡口,2023-12-02,787
S252-K56-省际卡口,2023-12-02,2014
S253-K0-省际卡口,2023-12-02,1772
S323-K10-市际卡口,2023-12-02,885
S323-K96-市际卡口,2023-12-02,3779
S324-K201-市际卡口,2023-12-02,1275
S325-K63-市际卡口,2023-12-02,4457
S505-K10-市际卡口,2023-12-02,1266
X308-K19-市际卡口,2023-12-02,1073
G104-K744-省际卡口,2023-12-03,2957
G104-K873-省际卡口,2023-12-03,3460
G206-K816-省际卡口,2023-12-03,1792
G235-K10-市际卡口,2023-12-03,3125
G3-K731-省际卡口,2023-12-03,5273
G310-K310-省际卡口,2023-12-03,1725
G311-K207-省际卡口,2023-12-03,898
G518518-K358-省际卡口,2023-12-03,2286
S250-K1-省际卡口,2023-12-03,3334
S251-K5-省际卡口,2023-12-03,795
S252-K56-省际卡口,2023-12-03,2012
S253-K0-省际卡口,2023-12-03,1693
S323-K10-市际卡口,2023-12-03,907
S323-K96-市际卡口,2023-12-03,3624
S324-K201-市际卡口,2023-12-03,1292
S325-K63-市际卡口,2023-12-03,4312
S505-K10-市际卡口,2023-12-03,1208
X308-K19-市际卡口,2023-12-03,1070
G104-K744-省际卡口,2023-12-04,2940
G104-K873-省际卡口,2023-12-04,3897
G206-K816-省际卡口,2023-12-04,1986
G235-K10-市际卡口,2023-12-04,3321
G237-K148-省际卡口,2023-12-04,2
G3-K731-省际卡口,2023-12-04,5252
G310-K310-省际卡口,2023-12-04,1602
G311-K207-省际卡口,2023-12-04,841
G518518-K358-省际卡口,2023-12-04,3063
S250-K1-省际卡口,2023-12-04,3420
S251-K5-省际卡口,2023-12-04,699
S252-K56-省际卡口,2023-12-04,2175
S253-K0-省际卡口,2023-12-04,1699
S323-K10-市际卡口,2023-12-04,976
S323-K96-市际卡口,2023-12-04,3785
S324-K201-市际卡口,2023-12-04,1154
S325-K63-市际卡口,2023-12-04,4447
S505-K10-市际卡口,2023-12-04,1088
X308-K19-市际卡口,2023-12-04,976
G104-K744-省际卡口,2023-12-05,2351
G104-K873-省际卡口,2023-12-05,3054
G206-K816-省际卡口,2023-12-05,1662
G235-K10-市际卡口,2023-12-05,2256
G3-K731-省际卡口,2023-12-05,4417
G310-K310-省际卡口,2023-12-05,1292
G311-K207-省际卡口,2023-12-05,727
G518518-K358-省际卡口,2023-12-05,3041
S250-K1-省际卡口,2023-12-05,3511
S251-K5-省际卡口,2023-12-05,722
S252-K56-省际卡口,2023-12-05,1514
S253-K0-省际卡口,2023-12-05,1670
S323-K10-市际卡口,2023-12-05,782
S323-K96-市际卡口,2023-12-05,3713
S324-K201-市际卡口,2023-12-05,1106
S325-K63-市际卡口,2023-12-05,4377
S505-K10-市际卡口,2023-12-05,854
X308-K19-市际卡口,2023-12-05,868
G104-K744-省际卡口,2023-12-06,2663
G104-K873-省际卡口,2023-12-06,3602
G206-K816-省际卡口,2023-12-06,1971
G235-K10-市际卡口,2023-12-06,2882
G237-K148-省际卡口,2023-12-06,2
G3-K731-省际卡口,2023-12-06,5156
G310-K310-省际卡口,2023-12-06,1539
G311-K207-省际卡口,2023-12-06,402
G518518-K358-省际卡口,2023-12-06,3023
S250-K1-省际卡口,2023-12-06,3512
S251-K5-省际卡口,2023-12-06,668
S252-K56-省际卡口,2023-12-06,2084
S253-K0-省际卡口,2023-12-06,1651
S323-K10-市际卡口,2023-12-06,974
S323-K96-市际卡口,2023-12-06,4197
S324-K201-市际卡口,2023-12-06,1236
S325-K63-市际卡口,2023-12-06,4550
S505-K10-市际卡口,2023-12-06,1141
X308-K19-市际卡口,2023-12-06,914
G104-K744-省际卡口,2023-12-07,1952
G104-K873-省际卡口,2023-12-07,3129
G206-K816-省际卡口,2023-12-07,1713
G235-K10-市际卡口,2023-12-07,1825
G237-K148-省际卡口,2023-12-07,1
G3-K731-省际卡口,2023-12-07,4161
G310-K310-省际卡口,2023-12-07,1357
G311-K207-省际卡口,2023-12-07,315
G518518-K358-省际卡口,2023-12-07,2598
S250-K1-省际卡口,2023-12-07,3057
S251-K5-省际卡口,2023-12-07,546
S252-K56-省际卡口,2023-12-07,1759
S253-K0-省际卡口,2023-12-07,1368
S323-K10-市际卡口,2023-12-07,744
S323-K96-市际卡口,2023-12-07,2628
S324-K201-市际卡口,2023-12-07,1059
S325-K63-市际卡口,2023-12-07,3735
S505-K10-市际卡口,2023-12-07,912
X308-K19-市际卡口,2023-12-07,768
G104-K744-省际卡口,2023-12-08,1754
G104-K873-省际卡口,2023-12-08,2680
G206-K816-省际卡口,2023-12-08,1349
G235-K10-市际卡口,2023-12-08,1610
G3-K731-省际卡口,2023-12-08,3136
G310-K310-省际卡口,2023-12-08,1183
G311-K207-省际卡口,2023-12-08,1325
G518518-K358-省际卡口,2023-12-08,1929
S250-K1-省际卡口,2023-12-08,2395
S251-K5-省际卡口,2023-12-08,465
S252-K56-省际卡口,2023-12-08,1340
S253-K0-省际卡口,2023-12-08,942
S323-K10-市际卡口,2023-12-08,560
S323-K96-市际卡口,2023-12-08,1728
S324-K201-市际卡口,2023-12-08,888
S325-K63-市际卡口,2023-12-08,3155
S505-K10-市际卡口,2023-12-08,824
X308-K19-市际卡口,2023-12-08,698
G104-K744-省际卡口,2023-12-09,1310
G104-K873-省际卡口,2023-12-09,1808
G206-K816-省际卡口,2023-12-09,889
G235-K10-市际卡口,2023-12-09,1446
G3-K731-省际卡口,2023-12-09,1588
G310-K310-省际卡口,2023-12-09,859
G311-K207-省际卡口,2023-12-09,1012
G518518-K358-省际卡口,2023-12-09,1007
S250-K1-省际卡口,2023-12-09,1822
S251-K5-省际卡口,2023-12-09,333
S252-K56-省际卡口,2023-12-09,1095
S323-K10-市际卡口,2023-12-09,491
S323-K96-市际卡口,2023-12-09,1654
S324-K201-市际卡口,2023-12-09,543
S325-K63-市际卡口,2023-12-09,1875
S505-K10-市际卡口,2023-12-09,580
X308-K19-市际卡口,2023-12-09,481
G104-K744-省际卡口,2023-12-10,1000
G104-K873-省际卡口,2023-12-10,912
G206-K816-省际卡口,2023-12-10,439
G235-K10-市际卡口,2023-12-10,1344
G3-K731-省际卡口,2023-12-10,1662
G310-K310-省际卡口,2023-12-10,13
G311-K207-省际卡口,2023-12-10,818
G518518-K358-省际卡口,2023-12-10,463
S250-K1-省际卡口,2023-12-10,1884
S251-K5-省际卡口,2023-12-10,284
S252-K56-省际卡口,2023-12-10,427
S323-K10-市际卡口,2023-12-10,446
S323-K96-市际卡口,2023-12-10,488
S324-K201-市际卡口,2023-12-10,191
S325-K63-市际卡口,2023-12-10,1605
S505-K10-市际卡口,2023-12-10,294
X308-K19-市际卡口,2023-12-10,375
G104-K744-省际卡口,2023-12-11,1660
G104-K873-省际卡口,2023-12-11,1841
G206-K816-省际卡口,2023-12-11,816
G235-K10-市际卡口,2023-12-11,1837
G3-K731-省际卡口,2023-12-11,2726
G310-K310-省际卡口,2023-12-11,605
G311-K207-省际卡口,2023-12-11,1297
G518518-K358-省际卡口,2023-12-11,1072
S250-K1-省际卡口,2023-12-11,1914
S251-K5-省际卡口,2023-12-11,320
S252-K56-省际卡口,2023-12-11,1078
S253-K0-省际卡口,2023-12-11,316
S323-K10-市际卡口,2023-12-11,663
S323-K96-市际卡口,2023-12-11,1876
S324-K201-市际卡口,2023-12-11,459
S325-K63-市际卡口,2023-12-11,2281
S505-K10-市际卡口,2023-12-11,445
X308-K19-市际卡口,2023-12-11,549
G104-K744-省际卡口,2023-12-12,759
G104-K873-省际卡口,2023-12-12,1080
G206-K816-省际卡口,2023-12-12,397
G235-K10-市际卡口,2023-12-12,693
G3-K731-省际卡口,2023-12-12,1039
G310-K310-省际卡口,2023-12-12,75
G311-K207-省际卡口,2023-12-12,561
G518518-K358-省际卡口,2023-12-12,639
S250-K1-省际卡口,2023-12-12,543
S251-K5-省际卡口,2023-12-12,117
S252-K56-省际卡口,2023-12-12,487
S253-K0-省际卡口,2023-12-12,78
S323-K10-市际卡口,2023-12-12,242
S323-K96-市际卡口,2023-12-12,774
S324-K201-市际卡口,2023-12-12,229
S325-K63-市际卡口,2023-12-12,824
S505-K10-市际卡口,2023-12-12,255
X308-K19-市际卡口,2023-12-12,278
G104-K744-省际卡口,2023-12-13,1559
G104-K873-省际卡口,2023-12-13,2777
G206-K816-省际卡口,2023-12-13,1136
G235-K10-市际卡口,2023-12-13,1700
G3-K731-省际卡口,2023-12-13,2771
G310-K310-省际卡口,2023-12-13,1935
G311-K207-省际卡口,2023-12-13,1448
G518518-K358-省际卡口,2023-12-13,1729
S250-K1-省际卡口,2023-12-13,1274
S251-K5-省际卡口,2023-12-13,419
S252-K56-省际卡口,2023-12-13,1123
S253-K0-省际卡口,2023-12-13,830
S323-K10-市际卡口,2023-12-13,784
S323-K96-市际卡口,2023-12-13,1945
S324-K201-市际卡口,2023-12-13,610
S325-K63-市际卡口,2023-12-13,1019
S505-K10-市际卡口,2023-12-13,585
X308-K19-市际卡口,2023-12-13,542
G104-K744-省际卡口,2023-12-14,1839
G104-K873-省际卡口,2023-12-14,3300
G206-K816-省际卡口,2023-12-14,1383
G235-K10-市际卡口,2023-12-14,1626
G3-K731-省际卡口,2023-12-14,2740
G310-K310-省际卡口,2023-12-14,2140
G311-K207-省际卡口,2023-12-14,1613
G518518-K358-省际卡口,2023-12-14,1971
S250-K1-省际卡口,2023-12-14,1229
S251-K5-省际卡口,2023-12-14,396
S252-K56-省际卡口,2023-12-14,1028
S253-K0-省际卡口,2023-12-14,1013
S323-K10-市际卡口,2023-12-14,695
S323-K96-市际卡口,2023-12-14,1546
S324-K201-市际卡口,2023-12-14,593
S325-K63-市际卡口,2023-12-14,26
S505-K10-市际卡口,2023-12-14,737
X308-K19-市际卡口,2023-12-14,398
G104-K744-省际卡口,2023-12-15,648
G104-K873-省际卡口,2023-12-15,1019
G206-K816-省际卡口,2023-12-15,425
G235-K10-市际卡口,2023-12-15,973
G3-K731-省际卡口,2023-12-15,591
G310-K310-省际卡口,2023-12-15,590
G311-K207-省际卡口,2023-12-15,637
G518518-K358-省际卡口,2023-12-15,524
S250-K1-省际卡口,2023-12-15,1336
S251-K5-省际卡口,2023-12-15,238
S252-K56-省际卡口,2023-12-15,293
S253-K0-省际卡口,2023-12-15,431
S323-K10-市际卡口,2023-12-15,357
S323-K96-市际卡口,2023-12-15,419
S324-K201-市际卡口,2023-12-15,170
S325-K63-市际卡口,2023-12-15,764
S505-K10-市际卡口,2023-12-15,255
X308-K19-市际卡口,2023-12-15,280
G104-K744-省际卡口,2023-12-16,1063
G104-K873-省际卡口,2023-12-16,1536
G206-K816-省际卡口,2023-12-16,824
G235-K10-市际卡口,2023-12-16,760
G3-K731-省际卡口,2023-12-16,1351
G310-K310-省际卡口,2023-12-16,1427
G311-K207-省际卡口,2023-12-16,991
G518518-K358-省际卡口,2023-12-16,1243
S250-K1-省际卡口,2023-12-16,1478
S251-K5-省际卡口,2023-12-16,281
S252-K56-省际卡口,2023-12-16,548
S253-K0-省际卡口,2023-12-16,533
S323-K10-市际卡口,2023-12-16,107
S323-K96-市际卡口,2023-12-16,1769
S324-K201-市际卡口,2023-12-16,459
S325-K63-市际卡口,2023-12-16,1644
S505-K10-市际卡口,2023-12-16,418
X308-K19-市际卡口,2023-12-16,329
G104-K744-省际卡口,2023-12-17,974
G104-K873-省际卡口,2023-12-17,1288
G206-K816-省际卡口,2023-12-17,633
G235-K10-市际卡口,2023-12-17,626
G3-K731-省际卡口,2023-12-17,1630
G310-K310-省际卡口,2023-12-17,1061
G311-K207-省际卡口,2023-12-17,792
G518518-K358-省际卡口,2023-12-17,287
S250-K1-省际卡口,2023-12-17,1466
S251-K5-省际卡口,2023-12-17,270
S252-K56-省际卡口,2023-12-17,420
S253-K0-省际卡口,2023-12-17,390
S323-K10-市际卡口,2023-12-17,395
S323-K96-市际卡口,2023-12-17,157
S324-K201-市际卡口,2023-12-17,45
S325-K63-市际卡口,2023-12-17,702
S505-K10-市际卡口,2023-12-17,368
X308-K19-市际卡口,2023-12-17,356
G104-K744-省际卡口,2023-12-18,1660
G104-K873-省际卡口,2023-12-18,1841
G206-K816-省际卡口,2023-12-18,816
G235-K10-市际卡口,2023-12-18,1837
G3-K731-省际卡口,2023-12-18,2726
G310-K310-省际卡口,2023-12-18,605
G311-K207-省际卡口,2023-12-18,1297
G518518-K358-省际卡口,2023-12-18,1072
S250-K1-省际卡口,2023-12-18,1914
S251-K5-省际卡口,2023-12-18,320
S252-K56-省际卡口,2023-12-18,1078
S253-K0-省际卡口,2023-12-18,316
S323-K10-市际卡口,2023-12-18,663
S323-K96-市际卡口,2023-12-18,1876
S324-K201-市际卡口,2023-12-18,459
S325-K63-市际卡口,2023-12-18,2281
S505-K10-市际卡口,2023-12-18,445
X308-K19-市际卡口,2023-12-18,549
G104-K744-省际卡口,2023-12-19,759
G104-K873-省际卡口,2023-12-19,1080
G206-K816-省际卡口,2023-12-19,397
G235-K10-市际卡口,2023-12-19,693
G3-K731-省际卡口,2023-12-19,1039
G310-K310-省际卡口,2023-12-19,75
G311-K207-省际卡口,2023-12-19,561
G518518-K358-省际卡口,2023-12-19,639
S250-K1-省际卡口,2023-12-19,543
S251-K5-省际卡口,2023-12-19,117
S252-K56-省际卡口,2023-12-19,487
S253-K0-省际卡口,2023-12-19,78
S323-K10-市际卡口,2023-12-19,242
S323-K96-市际卡口,2023-12-19,774
S324-K201-市际卡口,2023-12-19,229
S325-K63-市际卡口,2023-12-19,824
S505-K10-市际卡口,2023-12-19,255
X308-K19-市际卡口,2023-12-19,278
G104-K744-省际卡口,2023-12-20,1559
G104-K873-省际卡口,2023-12-20,2777
G206-K816-省际卡口,2023-12-20,1136
G235-K10-市际卡口,2023-12-20,1700
G3-K731-省际卡口,2023-12-20,2771
G310-K310-省际卡口,2023-12-20,1935
G311-K207-省际卡口,2023-12-20,1448
G518518-K358-省际卡口,2023-12-20,1729
S250-K1-省际卡口,2023-12-20,1274
S251-K5-省际卡口,2023-12-20,419
S252-K56-省际卡口,2023-12-20,1123
S253-K0-省际卡口,2023-12-20,830
S323-K10-市际卡口,2023-12-20,784
S323-K96-市际卡口,2023-12-20,1945
S324-K201-市际卡口,2023-12-20,610
S325-K63-市际卡口,2023-12-20,1019
S505-K10-市际卡口,2023-12-20,585
X308-K19-市际卡口,2023-12-20,542
G104-K744-省际卡口,2023-12-21,1839
G104-K873-省际卡口,2023-12-21,3300
G206-K816-省际卡口,2023-12-21,1383
G235-K10-市际卡口,2023-12-21,1626
G3-K731-省际卡口,2023-12-21,2740
G310-K310-省际卡口,2023-12-21,2140
G311-K207-省际卡口,2023-12-21,1613
G518518-K358-省际卡口,2023-12-21,1971
S250-K1-省际卡口,2023-12-21,1229
S251-K5-省际卡口,2023-12-21,396
S252-K56-省际卡口,2023-12-21,1028
S253-K0-省际卡口,2023-12-21,1013
S323-K10-市际卡口,2023-12-21,695
S323-K96-市际卡口,2023-12-21,1546
S324-K201-市际卡口,2023-12-21,593
S325-K63-市际卡口,2023-12-21,26
S505-K10-市际卡口,2023-12-21,737
X308-K19-市际卡口,2023-12-21,398
G104-K744-省际卡口,2023-12-22,923
G104-K873-省际卡口,2023-12-22,1202
G206-K816-省际卡口,2023-12-22,696
G235-K10-市际卡口,2023-12-22,622
G3-K731-省际卡口,2023-12-22,1768
G310-K310-省际卡口,2023-12-22,939
G311-K207-省际卡口,2023-12-22,1727
G518518-K358-省际卡口,2023-12-22,902
S250-K1-省际卡口,2023-12-22,1503
S251-K5-省际卡口,2023-12-22,284
S252-K56-省际卡口,2023-12-22,357
S253-K0-省际卡口,2023-12-22,509
S323-K10-市际卡口,2023-12-22,269
S323-K96-市际卡口,2023-12-22,1652
S324-K201-市际卡口,2023-12-22,260
S325-K63-市际卡口,2023-12-22,1693
S505-K10-市际卡口,2023-12-22,345
X308-K19-市际卡口,2023-12-22,371
G104-K744-省际卡口,2023-12-23,703
G104-K873-省际卡口,2023-12-23,916
G206-K816-省际卡口,2023-12-23,490
G235-K10-市际卡口,2023-12-23,554
G3-K731-省际卡口,2023-12-23,1195
G310-K310-省际卡口,2023-12-23,855
G311-K207-省际卡口,2023-12-23,1343
G518518-K358-省际卡口,2023-12-23,800
S250-K1-省际卡口,2023-12-23,1200
S251-K5-省际卡口,2023-12-23,185
S252-K56-省际卡口,2023-12-23,329
S253-K0-省际卡口,2023-12-23,292
S323-K10-市际卡口,2023-12-23,345
S323-K96-市际卡口,2023-12-23,831
S324-K201-市际卡口,2023-12-23,179
S325-K63-市际卡口,2023-12-23,1557
S505-K10-市际卡口,2023-12-23,254
X308-K19-市际卡口,2023-12-23,244
G104-K744-省际卡口,2023-12-24,684
G104-K873-省际卡口,2023-12-24,762
G206-K816-省际卡口,2023-12-24,460
G235-K10-市际卡口,2023-12-24,591
G237-K148-省际卡口,2023-12-24,2
G3-K731-省际卡口,2023-12-24,910
G310-K310-省际卡口,2023-12-24,588
G311-K207-省际卡口,2023-12-24,1190
G518518-K358-省际卡口,2023-12-24,591
S250-K1-省际卡口,2023-12-24,1100
S251-K5-省际卡口,2023-12-24,169
S252-K56-省际卡口,2023-12-24,284
S253-K0-省际卡口,2023-12-24,252
S323-K10-市际卡口,2023-12-24,267
S323-K96-市际卡口,2023-12-24,649
S324-K201-市际卡口,2023-12-24,154
S325-K63-市际卡口,2023-12-24,1420
S505-K10-市际卡口,2023-12-24,229
X308-K19-市际卡口,2023-12-24,232
G104-K744-省际卡口,2023-12-25,1111
G104-K873-省际卡口,2023-12-25,1466
G206-K816-省际卡口,2023-12-25,693
G235-K10-市际卡口,2023-12-25,713
G3-K731-省际卡口,2023-12-25,1614
G310-K310-省际卡口,2023-12-25,1067
G311-K207-省际卡口,2023-12-25,1445
G518518-K358-省际卡口,2023-12-25,1103
S250-K1-省际卡口,2023-12-25,1545
S251-K5-省际卡口,2023-12-25,261
S252-K56-省际卡口,2023-12-25,538
S253-K0-省际卡口,2023-12-25,504
S323-K10-市际卡口,2023-12-25,360
S323-K96-市际卡口,2023-12-25,1207
S324-K201-市际卡口,2023-12-25,289
S325-K63-市际卡口,2023-12-25,1143
S505-K10-市际卡口,2023-12-25,380
X308-K19-市际卡口,2023-12-25,375
G104-K744-省际卡口,2023-12-26,672
G104-K873-省际卡口,2023-12-26,886
G206-K816-省际卡口,2023-12-26,469
G235-K10-市际卡口,2023-12-26,759
G3-K731-省际卡口,2023-12-26,1209
G310-K310-省际卡口,2023-12-26,669
G311-K207-省际卡口,2023-12-26,1087
G518518-K358-省际卡口,2023-12-26,687
S250-K1-省际卡口,2023-12-26,1500
S251-K5-省际卡口,2023-12-26,201
S252-K56-省际卡口,2023-12-26,405
S253-K0-省际卡口,2023-12-26,414
S323-K10-市际卡口,2023-12-26,303
S323-K96-市际卡口,2023-12-26,819
S324-K201-市际卡口,2023-12-26,182
S325-K63-市际卡口,2023-12-26,1523
S505-K10-市际卡口,2023-12-26,269
X308-K19-市际卡口,2023-12-26,338
G104-K744-省际卡口,2023-12-27,779
G104-K873-省际卡口,2023-12-27,1052
G206-K816-省际卡口,2023-12-27,498
G235-K10-市际卡口,2023-12-27,709
G3-K731-省际卡口,2023-12-27,1105
G310-K310-省际卡口,2023-12-27,625
G311-K207-省际卡口,2023-12-27,1378
G518518-K358-省际卡口,2023-12-27,315
S250-K1-省际卡口,2023-12-27,1700
S251-K5-省际卡口,2023-12-27,208
S252-K56-省际卡口,2023-12-27,462
S253-K0-省际卡口,2023-12-27,421
S323-K10-市际卡口,2023-12-27,264
S323-K96-市际卡口,2023-12-27,686
S324-K201-市际卡口,2023-12-27,196
S325-K63-市际卡口,2023-12-27,1321
S505-K10-市际卡口,2023-12-27,306
X308-K19-市际卡口,2023-12-27,260
G104-K744-省际卡口,2023-12-28,766
G104-K873-省际卡口,2023-12-28,800
G206-K816-省际卡口,2023-12-28,241
G235-K10-市际卡口,2023-12-28,957
G3-K731-省际卡口,2023-12-28,355
G310-K310-省际卡口,2023-12-28,536
G311-K207-省际卡口,2023-12-28,1538
G518518-K358-省际卡口,2023-12-28,272
S250-K1-省际卡口,2023-12-28,1349
S251-K5-省际卡口,2023-12-28,173
S252-K56-省际卡口,2023-12-28,218
S253-K0-省际卡口,2023-12-28,315
S323-K10-市际卡口,2023-12-28,304
S323-K96-市际卡口,2023-12-28,321
S324-K201-市际卡口,2023-12-28,74
S325-K63-市际卡口,2023-12-28,862
S505-K10-市际卡口,2023-12-28,216
X308-K19-市际卡口,2023-12-28,141
G104-K744-省际卡口,2023-12-29,561
G104-K873-省际卡口,2023-12-29,773
G206-K816-省际卡口,2023-12-29,286
G235-K10-市际卡口,2023-12-29,880
G3-K731-省际卡口,2023-12-29,506
G310-K310-省际卡口,2023-12-29,485
G311-K207-省际卡口,2023-12-29,1218
G518518-K358-省际卡口,2023-12-29,255
S250-K1-省际卡口,2023-12-29,1298
S251-K5-省际卡口,2023-12-29,198
S252-K56-省际卡口,2023-12-29,248
S253-K0-省际卡口,2023-12-29,333
S323-K10-市际卡口,2023-12-29,281
S323-K96-市际卡口,2023-12-29,99
S324-K201-市际卡口,2023-12-29,18
S325-K63-市际卡口,2023-12-29,738
S505-K10-市际卡口,2023-12-29,253
X308-K19-市际卡口,2023-12-29,231
G104-K744-省际卡口,2023-12-30,662
G104-K873-省际卡口,2023-12-30,751
G206-K816-省际卡口,2023-12-30,229
G235-K10-市际卡口,2023-12-30,837
G3-K731-省际卡口,2023-12-30,648
G310-K310-省际卡口,2023-12-30,430
G311-K207-省际卡口,2023-12-30,1412
G518518-K358-省际卡口,2023-12-30,300
S250-K1-省际卡口,2023-12-30,1283
S251-K5-省际卡口,2023-12-30,163
S252-K56-省际卡口,2023-12-30,137
S253-K0-省际卡口,2023-12-30,271
S323-K10-市际卡口,2023-12-30,226
S323-K96-市际卡口,2023-12-30,120
S324-K201-市际卡口,2023-12-30,55
S325-K63-市际卡口,2023-12-30,837
S505-K10-市际卡口,2023-12-30,176
X308-K19-市际卡口,2023-12-30,179
G104-K744-省际卡口,2023-12-31,974
G104-K873-省际卡口,2023-12-31,1288
G206-K816-省际卡口,2023-12-31,633
G235-K10-市际卡口,2023-12-31,626
G3-K731-省际卡口,2023-12-31,1630
G310-K310-省际卡口,2023-12-31,1061
G311-K207-省际卡口,2023-12-31,792
G518518-K358-省际卡口,2023-12-31,287
S250-K1-省际卡口,2023-12-31,1466
S251-K5-省际卡口,2023-12-31,270
S252-K56-省际卡口,2023-12-31,420
S253-K0-省际卡口,2023-12-31,390
S323-K10-市际卡口,2023-12-31,395
S323-K96-市际卡口,2023-12-31,157
S324-K201-市际卡口,2023-12-31,45
S325-K63-市际卡口,2023-12-31,702
S505-K10-市际卡口,2023-12-31,368
X308-K19-市际卡口,2023-12-31,356
